couriers,packages,opttrans,optprofit
10,10,0,0
100,10,0,0
500,10,0,0
1000,10,0,0
5000,10,2,2
10000,10,5,4
50000,10,26,22
100000,10,46,53
500000,10,278,205
1000000,10,473,393
5000000,10,2797,2196
10,100,0,0
100,100,0,0
500,100,0,0
1000,100,0,0
5000,100,3,2
10000,100,6,5
50000,100,23,19
100000,100,48,43
500000,100,256,212
1000000,100,536,430
5000000,100,2900,2187
10,500,2,2
100,500,5,5
500,500,5,5
1000,500,6,5
5000,500,8,7
10000,500,10,9
50000,500,30,23
100000,500,52,40
500000,500,241,199
1000000,500,491,388
5000000,500,2420,1989
10,1000,4,5
100,1000,21,19
500,1000,19,18
1000,1000,19,19
5000,1000,20,21
10000,1000,23,23
50000,1000,41,38
100000,1000,67,56
500000,1000,257,217
1000000,1000,519,448
5000000,1000,2755,2560
10,5000,21,48
100,5000,209,222
500,5000,623,543
1000,5000,488,570
5000,5000,510,511
10000,5000,492,477
50000,5000,494,490
100000,5000,520,504
500000,5000,706,675
1000000,5000,1254,1225
5000000,5000,3248,2760
10,10000,41,78
100,10000,378,522
500,10000,1872,1939
1000,10000,2036,1917
5000,10000,2425,1923
10000,10000,1889,1898
50000,10000,1915,1911
100000,10000,1930,1924
500000,10000,2112,2084
1000000,10000,2350,2271
5000000,10000,4300,3870
10,50000,173,499
100,50000,1681,2981
500,50000,8439,10272
1000,50000,17035,17129
5000,50000,47039,48205
10000,50000,49046,46277
50000,50000,44698,46646
100000,50000,48312,47244
500000,50000,46823,47253
1000000,50000,47043,47509
5000000,50000,49034,49698
10,100000,376,1189
100,100000,3432,6444
500,100000,16458,22761
1000,100000,33483,40201
5000,100000,173789,159642
10000,100000,186770,189768
50000,100000,186738,194519
100000,100000,188958,195088
500000,100000,195855,203724
1000000,100000,197397,206572
5000000,100000,203148,215813
10,500000,2015,11228
100,500000,19409,55143
500,500000,97179,185888
1000,500000,155349,264345
5000,500000,790524,929584
10000,500000,1577175,1560730
50000,500000,4360037,4410674
100000,500000,4335239,4398935
500000,500000,4342025,4401414
1000000,500000,4369260,4399855
5000000,500000,4372041,4403544
10,1000000,3202,17790
100,1000000,32692,108287
500,1000000,158479,353772
1000,1000000,318443,603214
5000,1000000,1581077,2173473
10000,1000000,3181892,3772783
50000,1000000,16536545,14995811
100000,1000000,17688824,17969879
500000,1000000,17596771,17824527
1000000,1000000,17624923,17789583
5000000,1000000,17576843,17779405